keyword,target,intent,totalVol,comp,score
"가죽가방만들기",입문,상업,930,"중간",558
"모빌만들기",입문,상업,930,"중간",558
"서울숲데이트",커플,정보,930,"중간",558
"200일선물",선물,정보,1840,"높음",552
"컬러비즈",입문,정보,1840,"높음",552
"나무반지공방",입문,거래,910,"중간",546
"어르신선물",선물,정보,1810,"높음",543
"AI클라우드",입문,정보,1780,"높음",534
"원데이쿠킹클래스",입문,거래,1770,"높음",531
"비즈스트랩",입문,정보,1770,"높음",531
"장모님생신선물",선물,정보,1760,"높음",528
"열쇠고리부자재",입문,상업,880,"중간",528
"엄마선물",선물,정보,1750,"높음",525
"모카클래스",입문,거래,520,"낮음",520
"여름만들기",입문,상업,1730,"높음",519
"아빠환갑선물",선물,정보,1720,"높음",516
"동대문비즈",입문,정보,1710,"높음",513
"시계가죽스트랩",입문,정보,850,"중간",510
"부케선물",선물,정보,1690,"높음",507
"50대남자생일선물",선물,정보,1690,"높음",507
"시계만들기",입문,상업,840,"중간",504
"아로마디퓨저",입문,정보,1680,"높음",504
"신혼집집들이선물",선물,정보,1670,"높음",501
"천연디퓨저",입문,정보,1670,"높음",501
"향수만들기키트",입문,상업,830,"중간",498
"부산가죽공방",입문,거래,1650,"높음",495
"비즈키링만들기",입문,상업,1620,"높음",486
"개업선물추천",선물,정보,1600,"높음",480
"비누베이스",입문,정보,1600,"높음",480
"아빠생신선물",선물,정보,1590,"높음",477
"악세사리부자재",입문,상업,1590,"높음",477
"50대여성선물",선물,정보,1580,"높음",474
"부산향수공방",입문,거래,1580,"높음",474
"부산어린이체험",학부모,거래,1580,"높음",474
"여자친구1주년선물",선물,정보,1570,"높음",471
"차량용디퓨져",입문,정보,780,"중간",468
"비즈도매",입문,정보,1560,"높음",468
"선생님선물",선물,정보,1540,"높음",462
"석고방향제만들기",입문,상업,1540,"높음",462
"목걸이체인",입문,정보,1540,"높음",462
"비즈가방",입문,정보,1530,"높음",459
"이직선물",선물,정보,1520,"높음",456
"캘리그래피",입문,정보,1520,"높음",456
"홍대도자기공방",입문,거래,760,"중간",456
"진급선물",선물,정보,1500,"높음",450
"의정부데이트",커플,정보,1490,"높음",447
"은반지커플링",커플,정보,1490,"높음",447
"디퓨저베이스",입문,정보,730,"중간",438
"광주공방",입문,거래,1450,"높음",435
"올리브영디퓨저",입문,정보,1440,"높음",432
"디퓨저용기",입문,정보,720,"중간",432
"센스있는집들이선물",선물,정보,1430,"높음",429
"광주원데이클래스",입문,거래,1430,"높음",429
"아빠선물",선물,정보,1420,"높음",426
"도자기물레",입문,정보,700,"중간",420
"가죽원단",입문,정보,1400,"높음",420
"베지터블가죽",입문,정보,1390,"높음",417
"나전칠기공예",입문,정보,690,"중간",414
"취미종류",입문,정보,1380,"높음",414
"미니어처하우스",입문,정보,1370,"높음",411
"백화점디퓨저",입문,정보,1370,"높음",411
"잠실실내데이트",커플,정보,1370,"높음",411
"레진공예",입문,정보,1360,"높음",408
"실리콘몰드제작",입문,상업,1360,"높음",408
"아내생일선물",선물,정보,1350,"높음",405
"미니어처소품",입문,정보,1340,"높음",402
"퀼트가방만들기",입문,상업,1340,"높음",402
"레더",입문,정보,1340,"높음",402
"20만원대선물",선물,정보,1330,"높음",399
"아로마캔들",입문,정보,660,"중간",396
"1주년데이트",커플,정보,1300,"높음",390
"가죽토트백",입문,정보,1300,"높음",390
"부산데이트코스",커플,정보,1300,"높음",390
"인형키링제작",입문,정보,1290,"높음",387
"커플링공방",커플,거래,1290,"높음",387
"성인취미미술",입문,정보,1290,"높음",387
"레진테이블",입문,정보,640,"중간",384
"도자기만들기",입문,상업,1280,"높음",384
"한우선물",선물,정보,1280,"높음",384
"아로마오일디퓨저",입문,정보,640,"중간",384
"가죽펀칭기",입문,정보,1280,"높음",384
"도자기원데이클래스",입문,거래,1270,"높음",381
"사피아노가죽",입문,정보,1270,"높음",381
"모기퇴치제만들기",입문,상업,1270,"높음",381
"크리스탈레진",입문,정보,630,"중간",378
"거실그림액자",입문,정보,1260,"높음",378
"디퓨저리필액",입문,정보,630,"중간",378
"어머님생신선물",선물,정보,1250,"높음",375
"비즈왁스",입문,정보,1250,"높음",375
"비즈팔찌재료",입문,상업,1250,"높음",375
"수원원데이클래스",입문,거래,1240,"높음",372
"악세사리트레이",입문,정보,1240,"높음",372
"교수님선물",선물,정보,1240,"높음",372
"신혼집들이선물",선물,정보,1230,"높음",369
"신혼선물",선물,정보,1230,"높음",369
"1000일선물",선물,정보,1220,"높음",366
"인터벌트레이닝",입문,정보,1220,"높음",366
"리본공예",입문,정보,1220,"높음",366
"디퓨저만들기",입문,상업,1210,"높음",363
"키링재료",입문,상업,1210,"높음",363
"이색체험",입문,거래,1200,"높음",360
"10만원대선물",선물,정보,1200,"높음",360
"펄러비즈도안",입문,상업,1200,"높음",360
"레진몰드",입문,상업,1190,"높음",357
"친구선물",선물,정보,1190,"높음",357
"명품디퓨저",입문,정보,1190,"높음",357
"홍대원데이클래스",입문,거래,1190,"높음",357
"키링만들기세트",입문,상업,590,"중간",354
"레진아트재료",입문,상업,1180,"높음",354
"횡성한우선물세트",선물,정보,1180,"높음",354
"사무실개업선물",선물,정보,1180,"높음",354
"커플링만들기",커플,상업,1180,"높음",354
"생신선물",선물,정보,1170,"높음",351
"케이크원데이클래스",입문,거래,1170,"높음",351
"체코비즈",입문,정보,1170,"높음",351
"퀼트재료",입문,상업,1160,"높음",348
"비즈부자재",입문,상업,1160,"높음",348
"이니셜비즈",입문,정보,580,"중간",348
"2주년선물",선물,정보,1150,"높음",345
"가죽공예키트",입문,상업,1150,"높음",345
"디퓨저공병",입문,정보,1150,"높음",345
"석고가루",입문,정보,1150,"높음",345
"구슬팔찌",입문,정보,1150,"높음",345
"못난이진주목걸이",입문,정보,1140,"높음",342
"각인반지",입문,정보,1130,"높음",339
"전주원데이클래스",입문,거래,1130,"높음",339
"토고가죽",입문,정보,560,"중간",336
"어린이집선생님선물",선물,정보,1110,"높음",333
"대구체험",입문,거래,1110,"높음",333
"50대여자생일선물",선물,정보,1100,"높음",330
"은공방",입문,거래,1100,"높음",330
"컬러비즈도안",입문,상업,1090,"높음",327
"미유키비즈",입문,정보,1080,"높음",324
"출산산모선물",선물,정보,1080,"높음",324
"프리미엄디퓨저",입문,정보,540,"중간",324
"수제가죽지갑",입문,정보,1080,"높음",324
"초등만들기",학부모,상업,1080,"높음",324
"스승의날선물",선물,정보,1070,"높음",321
"30만원대선물",선물,정보,1070,"높음",321
"답례품선물",선물,정보,1070,"높음",321
"안양데이트",커플,정보,1070,"높음",321
"레진아트키트",입문,상업,530,"중간",318
"꽃다발만들기",입문,상업,1060,"높음",318
"신혼집선물",선물,정보,1050,"높음",315
"청주도자기공방",입문,거래,1050,"높음",315
"동대문부자재",입문,상업,1050,"높음",315
"금속공예",입문,정보,1040,"높음",312
"사무실디퓨저",입문,정보,520,"중간",312
"만들기체험",입문,거래,1040,"높음",312
"외국인친구선물",선물,정보,1030,"높음",309
"마크라메가방",입문,정보,1030,"높음",309
"목공예",입문,정보,1020,"높음",306
"소이왁스",입문,정보,510,"중간",306
"비즈세트",입문,정보,1020,"높음",306
"마크라메공예",입문,정보,1010,"높음",303
"자동차키홀더",입문,정보,1010,"높음",303
"어린이만들기키트",학부모,상업,500,"중간",300
"디퓨저리필",입문,정보,1000,"높음",300
"PU가죽",입문,정보,1000,"높음",300
"북촌데이트",커플,정보,1000,"높음",300
"마장동한우선물세트",선물,정보,990,"높음",297
"캘리그라피연습",입문,정보,990,"높음",297
"에폭시레진",입문,정보,980,"높음",294
"아내결혼기념일선물",커플,정보,980,"높음",294
"키링DIY",입문,상업,980,"높음",294
"판도라참팔찌",입문,정보,980,"높음",294
"원석팔찌만들기",입문,상업,970,"높음",291
"레진목걸이",입문,정보,480,"중간",288
"서울쿠킹클래스",입문,거래,960,"높음",288
"합격기원선물",선물,정보,950,"높음",285
"강아지디퓨저",입문,정보,940,"높음",282
"만들기재료",입문,상업,940,"높음",282
"대전체험",입문,거래,940,"높음",282
"꽃비즈",입문,정보,930,"높음",279
"취미생활추천",입문,정보,920,"높음",276
"디퓨져추천",입문,정보,460,"중간",276
"향수만들기공방",입문,거래,920,"높음",276
"동대문악세사리부자재",입문,상업,920,"높음",276
"팔찌줄",입문,정보,920,"높음",276
"디퓨저오일",입문,정보,460,"중간",276
"미술재료",입문,상업,910,"높음",273
"60대남자생일선물",선물,정보,900,"높음",270
"소이캔들",입문,정보,900,"높음",270
"이천도자기공방",입문,거래,900,"높음",270
"가죽본드",입문,정보,900,"높음",270
"광주도자기공방",입문,거래,900,"높음",270
"홍대이색체험",입문,거래,890,"높음",267
"원석팔찌재료",입문,상업,890,"높음",267
"고급선물",선물,정보,880,"높음",264
"반려동물디퓨저",입문,정보,440,"중간",264
"은반지공방",입문,거래,880,"높음",264
"석고방향제오일",입문,정보,440,"중간",264
"규방공예",입문,정보,870,"높음",261
"커피선물세트",선물,정보,870,"높음",261
"알파벳비즈",입문,정보,870,"높음",261
"소원팔찌만들기",입문,상업,870,"높음",261
"비즈도안",입문,상업,870,"높음",261
"비즈목걸이재료",입문,상업,430,"중간",258
"부산도자기체험",입문,거래,430,"중간",258
"도예가",입문,정보,860,"높음",258
"비즈박스알파",입문,정보,430,"중간",258
"크리스탈비즈",입문,정보,860,"높음",258
"메탈키링",입문,정보,430,"중간",258
"300일선물",선물,정보,850,"높음",255
"센스있는선물",선물,정보,850,"높음",255
"카디퓨저",입문,정보,840,"높음",252
"팔찌매듭",입문,정보,840,"높음",252
"인테리어디퓨저",작품,정보,830,"높음",249
"소가죽",입문,정보,830,"높음",249
"인천원데이클래스",입문,거래,830,"높음",249
"40대엄마생일선물",선물,정보,820,"높음",246
"커플선물",커플,정보,820,"높음",246
"위스키디퓨저",입문,정보,410,"중간",246
"플라워클래스",입문,거래,810,"높음",243
"가죽케이스",입문,정보,800,"높음",240
"앱송가죽",입문,정보,400,"중간",240
"이사선물추천",선물,정보,790,"높음",237
"집디퓨저추천",입문,정보,790,"높음",237
"아이스크림몰드",학부모,상업,790,"높음",237
"미술만들기",입문,상업,780,"높음",234
"5만원선물",선물,정보,780,"높음",234
"센스있는개업선물",선물,정보,780,"높음",234
"카드지갑만들기",입문,상업,780,"높음",234
"가죽실",입문,정보,780,"높음",234
"창원원데이클래스",입문,거래,780,"높음",234
"방산시장향수",입문,정보,390,"중간",234
"소고기선물",선물,정보,770,"높음",231
"메모지도안",입문,상업,770,"높음",231
"비즈만들기",입문,상업,770,"높음",231
"볼클레이",입문,정보,380,"중간",228
"미니어처DIY",입문,상업,760,"높음",228
"고기선물세트",선물,정보,760,"높음",228
"군인선물",선물,정보,760,"높음",228
"악어가죽",입문,정보,760,"높음",228
"캔들라이터",입문,정보,760,"높음",228
"썬캡만들기",입문,상업,760,"높음",228
"가죽가방DIY",입문,상업,750,"높음",225
"커플반지공방",커플,거래,750,"높음",225
"캔들홀더",입문,정보,750,"높음",225
"목걸이부자재",입문,상업,750,"높음",225
"목공키트",입문,상업,370,"중간",222
"시어머니선물",선물,정보,740,"높음",222
"강남공방",입문,거래,740,"높음",222
"블랙체리디퓨저",입문,정보,740,"높음",222
"인조가죽스티커",입문,정보,370,"중간",222
"강남원데이클래스",입문,거래,730,"높음",219
"서울공방체험",입문,거래,730,"높음",219
"도예체험",입문,거래,720,"높음",216
"집들이선물세트",선물,정보,720,"높음",216
"요리원데이클래스",입문,거래,720,"높음",216
"향수베이스",입문,정보,720,"높음",216
"비즈원석",입문,정보,720,"높음",216
"레진반지",입문,정보,710,"높음",213
"추석선물세트",선물,정보,710,"높음",213
"천연가죽",입문,정보,710,"높음",213
"부산이색체험",입문,거래,710,"높음",213
"동대문키링부자재",입문,상업,700,"높음",210
"스마트디퓨저",입문,정보,700,"높음",210
"반지만들기공방",입문,거래,700,"높음",210
"40대생일선물",선물,정보,690,"높음",207
"인테리어선물",선물,정보,690,"높음",207
"시험응원선물",선물,정보,690,"높음",207
"답례선물",선물,정보,690,"높음",207
"대구가죽공방",입문,거래,690,"높음",207
"종이공예",입문,정보,680,"높음",204
"추석선물",선물,정보,680,"높음",204
"라벤더디퓨저",입문,정보,340,"중간",204
"편백디퓨저",입문,정보,340,"중간",204
"대형디퓨저",입문,정보,680,"높음",204
"당신의가죽",입문,정보,340,"중간",204
"대학로데이트",커플,정보,680,"높음",204
"캔들용기",입문,정보,680,"높음",204
"어버이날선물",선물,정보,670,"높음",201
"인천도자기공방",입문,거래,670,"높음",201
"성수원데이클래스",입문,거래,670,"높음",201
"제주도어린이체험",학부모,거래,670,"높음",201
"팔찌부자재",입문,상업,670,"높음",201
"도자기공예",입문,정보,660,"높음",198
"자동디퓨저",입문,정보,660,"높음",198
"수제가죽가방",입문,정보,660,"높음",198
"방향제만들기",입문,상업,660,"높음",198
"비즈반지만들기",입문,상업,660,"높음",198
"팔찌DIY",입문,상업,330,"중간",198
"진주비즈",입문,정보,660,"높음",198
"제주어린이체험",학부모,거래,650,"높음",195
"가죽DIY",입문,상업,320,"중간",192
"비즈공예도안",입문,상업,640,"높음",192
"떡공방",입문,거래,640,"높음",192
"자취선물",선물,정보,640,"높음",192
"대전캘리그라피",입문,정보,640,"높음",192
"서울가죽공방",입문,거래,640,"높음",192
"대구도자기체험",입문,거래,320,"중간",192
"잠실원데이클래스",입문,거래,640,"높음",192
"팔찌참",입문,정보,640,"높음",192
"부모님인사선물",선물,정보,630,"높음",189
"사무실선물",선물,정보,620,"높음",186
"서울도자기체험",입문,거래,620,"높음",186
"가족반지",입문,정보,620,"높음",186
"팔찌재료",입문,상업,620,"높음",186
"매듭팔찌실",입문,정보,620,"높음",186
"명절선물세트",선물,정보,610,"높음",183
"50대생일선물",선물,정보,610,"높음",183
"커플반지만들기",커플,상업,610,"높음",183
"캘리그라퍼",입문,정보,610,"높음",183
"댄스원데이클래스",입문,거래,610,"높음",183
"유아비즈",학부모,정보,610,"높음",183
"동대문키링",입문,정보,600,"높음",180
"전통매듭공예",입문,정보,600,"높음",180
"부모님생일선물",선물,정보,600,"높음",180
"어린이도자기체험",학부모,거래,600,"높음",180
"시계가죽줄",입문,정보,600,"높음",180
"동대문비즈부자재",입문,상업,600,"높음",180
"결혼선물추천",선물,정보,590,"높음",177
"어르신선물추천",선물,정보,590,"높음",177
"서울비오는날데이트",커플,정보,590,"높음",177
"홍대반지",입문,정보,590,"높음",177
"천연석비즈",입문,정보,590,"높음",177
"모루인형키링",입문,정보,580,"높음",174
"유아만들기키트",학부모,상업,580,"높음",174
"스타벅스선물세트",선물,정보,580,"높음",174
"캔들만들기",입문,상업,580,"높음",174
"비누몰드",입문,상업,580,"높음",174
"사돈선물",선물,정보,570,"높음",171
"환기디퓨저",입문,정보,570,"높음",171
"공방체험",입문,거래,570,"높음",171
"디퓨저브랜드",입문,정보,570,"높음",171
"캘리그라피글귀",입문,정보,570,"높음",171
"대구원데이",입문,거래,570,"높음",171
"천연향수",입문,정보,570,"높음",171
"투명레진",입문,정보,280,"중간",168
"어른들선물",선물,정보,560,"높음",168
"60대엄마생신선물",선물,정보,560,"높음",168
"칠순잔치선물",선물,정보,560,"높음",168
"60대아빠선물",선물,정보,560,"높음",168
"물레체험",입문,거래,560,"높음",168
"캘리그라피그림",입문,정보,560,"높음",168
"신림데이트",커플,정보,560,"높음",168
"메일만들기",입문,상업,560,"높음",168
"마크라메DIY",입문,상업,560,"높음",168
"팔찌비즈",입문,정보,560,"높음",168
"레진아트공방",입문,거래,550,"높음",165
"의미있는선물",선물,정보,550,"높음",165
"천연가죽원단",입문,정보,550,"높음",165
"양가죽",입문,정보,550,"높음",165
"잠실데이트코스",커플,정보,550,"높음",165
"홍대체험",입문,거래,550,"높음",165
"그립톡부자재",입문,상업,540,"높음",162
"팔찌케이스",입문,정보,270,"중간",162
"고급선물세트",선물,정보,540,"높음",162
"도자기만들기체험",입문,거래,540,"높음",162
"서울케이크공방",입문,거래,540,"높음",162
"비즈귀걸이",입문,정보,540,"높음",162
"노리개만들기",입문,상업,530,"높음",159
"향수사이트",입문,정보,530,"높음",159
"20만원선물",선물,정보,530,"높음",159
"목공체험",입문,거래,530,"높음",159
"퇴사자선물",선물,정보,530,"높음",159
"도자기물레체험",입문,거래,530,"높음",159
"차량용전자디퓨저",입문,정보,530,"높음",159
"키즈클래스",학부모,거래,530,"높음",159
"팔찌끈",입문,정보,530,"높음",159
"모루공예",입문,정보,530,"높음",159
"60대여자선물",선물,정보,520,"높음",156
"명절선물",선물,정보,520,"높음",156
"집디퓨저",입문,정보,260,"중간",156
"화장실향수",입문,정보,520,"높음",156
"실내디퓨저추천",입문,정보,520,"높음",156
"임산부취미",입문,정보,260,"중간",156
"진주목걸이만들기",입문,상업,520,"높음",156
"제주향수공방",입문,거래,520,"높음",156
"묵주재료",입문,상업,510,"높음",153
"초콜릿몰드",입문,상업,510,"높음",153
"산모출산선물",선물,정보,510,"높음",153
"디퓨져만들기",입문,상업,510,"높음",153
"비즈박스",입문,정보,510,"높음",153
"회사이메일만들기",입문,상업,510,"높음",153
"비즈공예키트",입문,상업,510,"높음",153
"비치백만들기",입문,상업,510,"높음",153
"레진키링",입문,정보,500,"높음",150
"부모님선물추천",선물,정보,500,"높음",150
"푸에블로가죽",입문,정보,500,"높음",150
